departure_airport_id,departure_airport,departure_terminal,departure_gate,departure_delay,,,,,,arrival_airport_id,arrival_airport,,,,,,,,,,Country
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C5,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C5,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C5,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),1,A8,2,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
19,Haneda Airport,NULL,NULL,1,,,,,,1,Los Angeles International,,,,,,,,,,Japan
54,Don Miguel Hidalgo y Costilla International,1,B11,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
54,Don Miguel Hidalgo y Costilla International,1,B11,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
230,Kingsford Smith,1,60,17,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,60,17,,,,,,1,Los Angeles International,,,,,,,,,,Australia
194,Doha International,NULL,C2,47,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
230,Kingsford Smith,1,53,38,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,53,38,,,,,,1,Los Angeles International,,,,,,,,,,Australia
19,Haneda Airport,3,114,41,,,,,,1,Los Angeles International,,,,,,,,,,Japan
,,,,,,,,,,,,,,,,,,,,,
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D7,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
217,Ataturk Airport,NULL,B3,13,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
81,Seoul (Incheon),2,266,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,13,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
6,Schiphol,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
19,Haneda Airport,3,113,9,,,,,,1,Los Angeles International,,,,,,,,,,Japan
48,Beijing Capital International,3,NULL,4,,,,,,1,Los Angeles International,,,,,,,,,,China
207,El Salvador International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
195,Lester B. Pearson International,NULL,NULL,27,,,,,,1,Los Angeles International,,,,,,,,,,Canada
219,Hong Kong International,1,2,19,,,,,,1,Los Angeles International,,,,,,,,,,Hong Kong
219,Hong Kong International,1,2,19,,,,,,1,Los Angeles International,,,,,,,,,,Hong Kong
219,Hong Kong International,1,2,19,,,,,,1,Los Angeles International,,,,,,,,,,Hong Kong
220,Shanghai Pudong International,NULL,NULL,30,,,,,,1,Los Angeles International,,,,,,,,,,China
244,Guam International,NULL,7,14,,,,,,1,Los Angeles International,,,,,,,,,,Guam
49,Narita International Airport,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Japan
198,International,NULL,C16,13,,,,,,1,Los Angeles International,,,,,,,,,,
213,Manzanillo,NULL,HG,1,,,,,,1,Los Angeles International,,,,,,,,,,Cuba
49,Narita International Airport,NULL,NULL,8,,,,,,1,Los Angeles International,,,,,,,,,,Japan
