departure_to_lax,departure_count_lax,arrival_airport_lax,iata_lax,departure_to_atl,departure_count_atl,arrival_airport_atl,iata_atl
Spokane International,247,Los Angeles International,LAX,El Salvador International,32,Hartsfield-jackson Atlanta International,ATL
Ronald Reagan Washington National Airport,1035,Los Angeles International,LAX,Jose Joaquin De Olmedo,2,Hartsfield-jackson Atlanta International,ATL
San Antonio International,214,Los Angeles International,LAX,Philip S. W. Goldson International,5,Hartsfield-jackson Atlanta International,ATL
Findel,17,Los Angeles International,LAX,Hangzhou,1,Hartsfield-jackson Atlanta International,ATL
Midway,96,Los Angeles International,LAX,Auckland International,10,Hartsfield-jackson Atlanta International,ATL
Colorado Springs,125,Los Angeles International,LAX,Francisco J. Múgica Internacional,15,Hartsfield-jackson Atlanta International,ATL
Doha International,101,Los Angeles International,LAX,Vancouver International,8,Hartsfield-jackson Atlanta International,ATL
Fuzhou,60,Los Angeles International,LAX,Mc Clellan-Palomar Airport,1,Hartsfield-jackson Atlanta International,ATL
Zhengzhou,205,Los Angeles International,LAX,Sun Valley,42,Hartsfield-jackson Atlanta International,ATL
Tullamarine,4,Los Angeles International,LAX,Aspen,59,Hartsfield-jackson Atlanta International,ATL
Kansas City International Airport,51,Los Angeles International,LAX,Nadi International,2,Hartsfield-jackson Atlanta International,ATL
Kona International Airport,260,Los Angeles International,LAX,Eagle County,9,Hartsfield-jackson Atlanta International,ATL
Los Cabos,400,Los Angeles International,LAX,Jinan,8,Hartsfield-jackson Atlanta International,ATL
Will Rogers World Airport,60,Los Angeles International,LAX,Eugene,26,Hartsfield-jackson Atlanta International,ATL
Ben Gurion International,26,Los Angeles International,LAX,Juan Santamaría International,32,Hartsfield-jackson Atlanta International,ATL
Monterey Peninsula,67,Los Angeles International,LAX,Del Bajío International,37,Hartsfield-jackson Atlanta International,ATL
Livermore,5,Los Angeles International,LAX,Van Nuys,5,Hartsfield-jackson Atlanta International,ATL
Juan Santamaría International,87,Los Angeles International,LAX,Scottsdale Municipalcipal,8,Hartsfield-jackson Atlanta International,ATL
Shenzhen,6,Los Angeles International,LAX,Aguascalients,6,Hartsfield-jackson Atlanta International,ATL
Tulsa International,24,Los Angeles International,LAX,Imperial County,6,Hartsfield-jackson Atlanta International,ATL
Lihue,124,Los Angeles International,LAX,Minneapolis - St. Paul International,360,Hartsfield-jackson Atlanta International,ATL
International,75,Los Angeles International,LAX,County-Foster,3,Hartsfield-jackson Atlanta International,ATL
Bush Field,18,Los Angeles International,LAX,Montrose Regional Airport,2,Hartsfield-jackson Atlanta International,ATL
Redding,1,Los Angeles International,LAX,Thermal,1,Hartsfield-jackson Atlanta International,ATL
Roberts Field,16,Los Angeles International,LAX,Louisville International (Standiford Field),488,Hartsfield-jackson Atlanta International,ATL
Tocumen International,436,Los Angeles International,LAX,Outagamie County,44,Hartsfield-jackson Atlanta International,ATL
Gen Rafael Buelna,13,Los Angeles International,LAX,Savannah/Hilton Head,330,Hartsfield-jackson Atlanta International,ATL
Gallatin Field,381,Los Angeles International,LAX,Piedmont Triad International,572,Hartsfield-jackson Atlanta International,ATL
Bellingham,15,Los Angeles International,LAX,Stewart,9,Hartsfield-jackson Atlanta International,ATL
Lambert-St. Louis International,75,Los Angeles International,LAX,Bermuda Dunes,1,Hartsfield-jackson Atlanta International,ATL
Baltimore/Washington International Thurgood Marshall,91,Los Angeles International,LAX,Yeager,115,Hartsfield-jackson Atlanta International,ATL
Jackson Hole,251,Los Angeles International,LAX,Ninoy Aquino International,1,Hartsfield-jackson Atlanta International,ATL
Dubai,48,Los Angeles International,LAX,Metropolitan Airport,202,Hartsfield-jackson Atlanta International,ATL
Missoula International,9,Los Angeles International,LAX,Pensacola International Airport,255,Hartsfield-jackson Atlanta International,ATL
Lester B. Pearson International,26,Los Angeles International,LAX,Santa Fe,1,Hartsfield-jackson Atlanta International,ATL
Del Bajío International,31,Los Angeles International,LAX,Westchester County Apt,65,Hartsfield-jackson Atlanta International,ATL
Guam International,14,Los Angeles International,LAX,South Bend Regional,229,Hartsfield-jackson Atlanta International,ATL
Charles De Gaulle,138,Los Angeles International,LAX,T. F. Green Airport,174,Hartsfield-jackson Atlanta International,ATL
Brisbane International,9,Los Angeles International,LAX,Huntsville International - Carl T. Jones Field,303,Hartsfield-jackson Atlanta International,ATL
Xoxocotlan,5,Los Angeles International,LAX,Austin-straubel Field,350,Hartsfield-jackson Atlanta International,ATL
Chu-Bu Centrair International (Central Japan International),20,Los Angeles International,LAX,Gulfport-Biloxi International,75,Hartsfield-jackson Atlanta International,ATL
Liege Airport,17,Los Angeles International,LAX,James Cox Dayton International,446,Hartsfield-jackson Atlanta International,ATL
Southwest Florida International,153,Los Angeles International,LAX,Gerald R. Ford International,652,Hartsfield-jackson Atlanta International,ATL
Litchfield,1,Los Angeles International,LAX,Golden Triangle Reg.,155,Hartsfield-jackson Atlanta International,ATL
Prescott,36,Los Angeles International,LAX,Pittsburgh International,277,Hartsfield-jackson Atlanta International,ATL
General Mitchell International,16,Los Angeles International,LAX,Adams Field Airport,267,Hartsfield-jackson Atlanta International,ATL
Jose Joaquin De Olmedo,8,Los Angeles International,LAX,Cincinnati/Northern Kentucky,548,Hartsfield-jackson Atlanta International,ATL
John Wayne,11,Los Angeles International,LAX,Nassau International,44,Hartsfield-jackson Atlanta International,ATL
Eugene,39,Los Angeles International,LAX,Lambert-St. Louis International,187,Hartsfield-jackson Atlanta International,ATL
Philip S. W. Goldson International,4,Los Angeles International,LAX,Cyril E King Airport,34,Hartsfield-jackson Atlanta International,ATL
Hangzhou,1,Los Angeles International,LAX,Findel,11,Hartsfield-jackson Atlanta International,ATL
Christchurch International,36,Los Angeles International,LAX,Bush Field,306,Hartsfield-jackson Atlanta International,ATL
Henderson Executive,4,Los Angeles International,LAX,Hopkins International,297,Hartsfield-jackson Atlanta International,ATL
Bermuda Dunes,10,Los Angeles International,LAX,Richmond International Airport,436,Hartsfield-jackson Atlanta International,ATL
Francisco J. Múgica Internacional,22,Los Angeles International,LAX,Eppley Airfield,312,Hartsfield-jackson Atlanta International,ATL
Vancouver International,15,Los Angeles International,LAX,Dothan Airport,52,Hartsfield-jackson Atlanta International,ATL
Mc Clellan-Palomar Airport,3,Los Angeles International,LAX,Northwest Arkansas Regional,239,Hartsfield-jackson Atlanta International,ATL
